Ref,Qty,Value,Footprint,Dielectric/Type,Voltage,Tolerance,Power/Current,Manufacturer,MPN,Description,Status,Notes,Sheet
R22,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,PoE
R23,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,PoE
R24,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,PoE
R25,1,180k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1803X,RES 180k 1% 1/10W 0402,STD,,PoE
R26,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,PoE
R27,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,PoE
R28,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,PoE
R29,1,100k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1003X,RES 100k 1% 1/10W 0402,STD,,PoE
R30,1,150m,R_0805_2012Metric,Metal-strip shunt,,0.5%,1/4W,,,RES 150m SENSE 0.5% 0805,SHUNT-REVIEW,"U10 INA228 PoE-input shunt (VOUT_P/V_POE); confirm value vs final full-scale current, pick 0.5% or 4-terminal",PoE
R31,1,100,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1000X,RES 100 1% 1/10W 0402,STD,,Ethernet PHY
R32,1,100,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1000X,RES 100 1% 1/10W 0402,STD,,Ethernet PHY
R33,1,100,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1000X,RES 100 1% 1/10W 0402,STD,,Ethernet PHY
R34,1,100,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1000X,RES 100 1% 1/10W 0402,STD,,Ethernet PHY
R35,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,Ethernet PHY
R36,1,1.5k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1501X,RES 1.5k 1% 1/10W 0402,STD,,Ethernet PHY
R37,1,12.1k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1212X,RES 12.1k 1% 1/10W 0402,STD,,Ethernet PHY
R38,1,330,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF3300X,RES 330 1% 1/10W 0402,STD,,Ethernet PHY
R39,1,330,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF3300X,RES 330 1% 1/10W 0402,STD,,Ethernet PHY
R40,1,4.75k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF4751X,RES 4.75k 1% 1/10W 0402,STD,,Ethernet PHY
R41,1,4.75k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF4751X,RES 4.75k 1% 1/10W 0402,STD,,Ethernet PHY
R42,1,49.9,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF49R9X,RES 49.9 1% 1/10W 0402,STD,,Ethernet PHY
R43,1,49.9,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF49R9X,RES 49.9 1% 1/10W 0402,STD,,Ethernet PHY
R44,1,49.9,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF49R9X,RES 49.9 1% 1/10W 0402,STD,,Ethernet PHY
R45,1,49.9,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF49R9X,RES 49.9 1% 1/10W 0402,STD,,Ethernet PHY
R46,1,1.5k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1501X,RES 1.5k 1% 1/10W 0402,STD,,STM32
R47,1,33.2k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF3322X,RES 33.2k 1% 1/10W 0402,STD,,STM32
R48,1,50,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF50R0X,RES 50 1% 1/10W 0402,STD,,STM32
R49,1,5k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF5001X,RES 5k 1% 1/10W 0402,STD,,Ethernet PHY
R50,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,STM32
R51,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,STM32
R52,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,STM32
R53,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,STM32
R54,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,STM32
