"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","DIGIKEY_PART_NUMBER","MANUFACTURER","MANUFACTURER_PART_NUMBER","Description"
"R9,R10,R11,R12","4","1.5M","","","","0402 (1005 Metric)","https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C301.pdf","P1.5MJCT-ND","Panasonic Industry","ERJ-2GEJ155X","RES SMD 1.5M OHM 5% 1/10W 0402"
"R13","1","232","","","","0402 (1005 Metric)","https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf","P232LCT-ND","Panasonic Industry","ERJ-2RKF2320X","RES SMD 232 OHM 1% 1/10W 0402"
"R14","1","909","","","","0402 (1005 Metric)","https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf","P909LCT-ND","Panasonic Industry","ERJ-2RKF9090X","RES SMD 909 OHM 1% 1/10W 0402"
"R15","1","26.1k","","","","0402 (1005 Metric)","https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf","P26.1KLCT-ND","Panasonic Industry","ERJ-2RKF2612X","RES SMD 26.1K OHM 1% 1/10W 0402"
"R16,R30,R126","3","25m","","","","1206 (3216 Metric)","https://www.ohmite.com/assets/images/res-mcs.pdf,https://www.vishay.com/docs/30100/wsl.pdf","273-MCS1632R025DERCT-ND,WSLC-.025CT-ND","Ohmite,Vishay Dale","MCS1632R025DER,WSL1206R0250FEA","1W 0.025 OHM METAL ALLOY CS 1% C,RES 0.025 OHM 1% 1/4W 1206"
"R17,R20,R22,R23,R24,R26,R27,R28,R35,R50,R51,R52,R53,R54,R56,R58,R63,R74,R79,R84,R87,R88,R92,R95,R99,R104,R105,R124,R131,R135,R137,R139,R143,R145,R149,R150,R155,R157,R158,R160,R161,R168,R169,R179,R180,R190,R191,R192,R193,R194,R195,R196,R198,R200,R201,R204,R205,R206,R207,R208,R209,R212,R215,R220,R221,R222,R223,R224,R225,R226,R227,R233,R235,R236,R241,R246,R254,R258,R259,R261,R262,R263,R265,R266","84","10k","","","","0402 (1005 Metric)","https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf","P10.0KLCT-ND","Panasonic Industry","ERJ-2RKF1002X","RES SMD 10K OHM 1% 1/10W 0402"
"R18,R96","2","24.9k","","","","0402 (1005 Metric)","https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf","P24.9KLCT-ND","Panasonic Industry","ERJ-2RKF2492X","RES SMD 24.9K OHM 1% 1/10W 0402"
"R25","1","180k","","","","0402 (1005 Metric)","https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf","P180KLCT-ND","Panasonic Industry","ERJ-2RKF1803X","RES SMD 180K OHM 1% 1/10W 0402"
"R31,R32,R33,R34,R178","5","100","","","","0402 (1005 Metric)","https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf","P100LCT-ND","Panasonic Industry","ERJ-2RKF1000X","RES SMD 100 OHM 1% 1/10W 0402"
"R36,R46,R57,R185","4","1.5k","","","","0402 (1005 Metric)","https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf","P1.50KLCT-ND","Panasonic Industry","ERJ-2RKF1501X","RES SMD 1.5K OHM 1% 1/10W 0402"
"R37","1","12.1k","","","","0402 (1005 Metric)","https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf","P12.1KLCT-ND","Panasonic Industry","ERJ-2RKF1212X","RES SMD 12.1K OHM 1% 1/10W 0402"
